,Tid,Kanal A
74,0.50062017,3.124077
75,0.50729551,3.029343
76,0.51397084,3.029343
77,0.52064618,3.124077
78,0.52732151,3.124077
79,0.53399685,3.218812
80,0.54067219,3.597441
81,0.54734752,3.881336
82,0.55402286,3.97607
83,0.56069819,3.97607
84,0.56737353,3.786602
85,0.57404887,3.029343
86,0.5807242,3.692175
87,0.58739954,3.502707
88,0.59407487,3.124077
89,0.60075021,3.786602
90,0.60742555,3.786602
91,0.61410088,3.029343
92,0.62077622,3.124077
93,0.62745155,3.881336
94,0.63412689,3.881336
95,0.64080222,3.597441
96,0.64747756,3.124077
97,0.6541529,3.029343
98,0.66082823,3.124077
99,0.66750357,3.502707
100,0.6741789,3.692175
101,0.68085424,4.070805
102,0.68752958,4.070805
103,0.69420491,4.070805
104,0.70088025,3.881336
105,0.70755558,3.881336
106,0.71423092,3.881336
107,0.72090626,3.502707
108,0.72758159,3.407972
109,0.73425693,3.313238
110,0.74093226,3.218812
111,0.7476076,3.502707
112,0.75428294,3.407972
113,0.76095827,3.218812
114,0.76763361,3.124077
115,0.77430894,3.029343
116,0.78098428,3.218812
117,0.78765962,3.407972
118,0.79433495,3.218812
