,Tid,Kanal A
29,0.20023005,3.124077
30,0.20690539,3.124077
31,0.21358073,3.029343
32,0.22025606,3.218812
33,0.2269314,3.97607
34,0.23360673,3.881336
35,0.24028207,3.692175
36,0.24695741,3.124077
37,0.25363274,3.313238
38,0.26030808,3.97607
39,0.26698341,3.597441
40,0.27365875,3.029343
41,0.28033408,3.881336
42,0.28700942,3.502707
43,0.29368476,3.218812
44,0.30036009,3.97607
45,0.30703543,3.029343
46,0.31371076,3.97607
47,0.3203861,3.029343
48,0.32706144,3.97607
49,0.33373677,3.029343
50,0.34041211,3.97607
51,0.34708744,3.124077
52,0.35376278,3.597441
53,0.36043812,3.692175
54,0.36711345,3.029343
55,0.37378879,3.97607
56,0.38046412,3.407972
57,0.38713946,3.029343
58,0.3938148,4.070805
59,0.40049013,3.407972
60,0.40716547,2.934609
61,0.4138408,3.502707
62,0.42051614,4.070805
63,0.42719148,3.407972
64,0.43386681,2.839875
65,0.44054215,3.407972
66,0.44721748,3.97607
67,0.45389282,3.97607
68,0.46056815,3.502707
69,0.46724349,2.934609
70,0.47391883,2.745448
71,0.48059416,2.934609
72,0.4872695,3.313238
73,0.49394483,3.692175
74,0.50062017,3.881336
75,0.50729551,3.881336
76,0.51397084,3.786602
77,0.52064618,3.502707
78,0.52732151,3.313238
79,0.53399685,3.124077
80,0.54067219,2.934609
81,0.54734752,2.745448
82,0.55402286,2.745448
83,0.56069819,2.745448
84,0.56737353,2.839875
85,0.57404887,3.029343
86,0.5807242,3.218812
87,0.58739954,3.407972
88,0.59407487,3.502707
89,0.60075021,3.692175
90,0.60742555,3.786602
91,0.61410088,3.881336
92,0.62077622,3.881336
93,0.62745155,3.881336
94,0.63412689,3.881336
95,0.64080222,3.786602
96,0.64747756,3.692175
97,0.6541529,3.692175
98,0.66082823,3.692175
99,0.66750357,3.597441
100,0.6741789,3.502707
101,0.68085424,3.313238
102,0.68752958,3.029343
103,0.69420491,3.029343
104,0.70088025,3.029343
105,0.70755558,2.934609
106,0.71423092,2.934609
107,0.72090626,2.839875
108,0.72758159,2.745448
109,0.73425693,2.745448
110,0.74093226,2.745448
111,0.7476076,2.839875
112,0.75428294,2.839875
113,0.76095827,2.839875
114,0.76763361,2.934609
115,0.77430894,2.934609
116,0.78098428,3.029343
117,0.78765962,3.029343
118,0.79433495,3.029343
