,Tid,Kanal A
122,0.25055999,4.781312
123,0.25259999,5.250062
124,0.25463999,5.437377
125,0.25667999,5.437377
126,0.25871999,5.437377
127,0.26075999,5.437377
128,0.26279999,5.437377
129,0.26483999,5.437377
130,0.26687999,5.437377
131,0.26891999,5.437377
132,0.27095999,5.437377
133,0.27299999,5.437377
134,0.27503999,5.437377
135,0.27707999,5.437377
136,0.27911999,5.343565
137,0.28115999,5.343565
138,0.28319999,5.437377
139,0.28523999,5.437377
140,0.28727999,5.437377
141,0.28931999,5.437377
142,0.29135999,5.343565
143,0.29339999,5.250062
144,0.29543999,5.437377
145,0.29747999,5.437377
146,0.29951999,5.437377
147,0.30155999,5.437377
148,0.30359999,5.437377
149,0.30563999,5.437377
150,0.30767999,5.250062
151,0.30971999,5.250062
152,0.31175999,5.250062
153,0.31379999,5.343565
154,0.31583999,5.437377
155,0.31787999,5.437377
156,0.31991999,5.437377
157,0.32195999,5.343565
158,0.32399999,5.250062
159,0.32603999,5.250062
160,0.32807999,5.15625
161,0.33011999,5.15625
162,0.33215999,5.250062
163,0.33419999,5.343565
164,0.33623999,5.343565
165,0.33827999,5.250062
166,0.34031999,5.250062
167,0.34235999,5.062438
168,0.34439999,4.968627
169,0.34643999,4.968627
170,0.34847999,5.062438
171,0.35051999,5.062438
172,0.35255999,4.968627
173,0.35459999,4.968627
174,0.35663999,4.6875
175,0.35867999,4.593688
176,0.36071999,4.21875
177,0.36275999,4.312562
178,0.36479999,4.312562
179,0.36683999,4.499877
180,0.36887999,4.6875
181,0.37091999,4.406065
182,0.37295999,4.593688
183,0.37499999,4.499877
184,0.37703999,4.6875
185,0.37907999,4.499877
186,0.38111999,4.124938
187,0.38315999,4.312562
188,0.38519999,4.124938
189,0.38723999,4.406065
190,0.38927999,4.312562
191,0.39131999,4.21875
192,0.39335999,4.21875
193,0.39539999,3.75
194,0.39743999,4.21875
195,0.39947999,4.031127
196,0.40151999,4.031127
197,0.40355999,3.75
198,0.40559999,3.374754
199,0.40763999,3.843504
200,0.40967999,3.374754
201,0.41171999,3.28125
202,0.41375999,3.468565
203,0.41579999,3.374754
204,0.41783999,3.656188
205,0.41987999,3.28125
206,0.42191999,3.468565
207,0.42395999,3.374754
208,0.42599999,3.093627
209,0.42803999,2.999815
210,0.43007999,2.8125
211,0.43211999,2.8125
212,0.43415999,2.624877
213,0.43619999,2.437254
214,0.43823999,2.531065
215,0.44027999,2.249938
216,0.44231999,2.062315
217,0.44435999,1.781188
218,0.44639999,1.687377
219,0.44843999,1.593565
220,0.45047999,1.218627
221,0.45251999,1.031004
222,0.45455999,0.8436885
223,0.45659999,0.6560655
224,0.45863999,0.562254
225,0.46067999,0.3749385
226,0.46271999,0.3749385
227,0.46475999,0.281127
228,0.46679999,0.281127
229,0.46883999,0.281127
230,0.47087999,0.281127
231,0.47291999,0.3749385
232,0.47495999,0.46875
233,0.47699999,0.6560655
234,0.47903999,0.9375
235,0.48107999,1.499754
236,0.48311999,1.968504
237,0.48515999,2.156127
238,0.48719999,2.718688
239,0.48923999,3.28125
240,0.49127999,3.937315
241,0.49331999,4.593688
242,0.49535999,4.968627
243,0.49739999,5.437377
244,0.49943999,5.250062
245,0.50147999,3.75
246,0.50351999,1.031004
247,0.50555999,0.562254
248,0.50759999,3.562377
249,0.50963999,5.15625
250,0.51167999,5.15625
251,0.51371999,3.468565
252,0.51575999,1.781188
253,0.51779999,0.3749385
254,0.51983999,0.562254
255,0.52187999,2.999815
256,0.52391999,5.062438
257,0.52595999,5.250062
258,0.52799999,3.468565
259,0.53003999,1.499754
260,0.53207999,0.281127
261,0.53411999,1.312438
262,0.53615999,2.906004
263,0.53819999,4.781312
264,0.54023999,5.437377
265,0.54227999,4.499877
266,0.54431999,2.906004
267,0.54635999,1.124815
268,0.54839999,0.281127
269,0.55043999,1.031004
270,0.55247999,2.8125
271,0.55451999,4.21875
272,0.55655999,5.250062
273,0.55859999,5.343565
274,0.56063999,4.499877
275,0.56267999,2.8125
276,0.56471999,1.124815
277,0.56675999,0.3749385
278,0.56879999,0.562254
279,0.57083999,1.312438
280,0.57287999,2.8125
281,0.57491999,4.21875
282,0.57695999,5.250062
283,0.57899999,5.437377
284,0.58103999,4.781312
285,0.58307999,3.562377
286,0.58511999,2.156127
287,0.58715999,1.124815
288,0.58919999,0.562254
289,0.59123999,0.281127
290,0.59327999,0.46875
291,0.59531998,1.218627
292,0.59735998,2.249938
293,0.59939998,3.562377
294,0.60143998,4.781312
295,0.60347998,5.343565
296,0.60551998,5.531188
297,0.60755998,5.437377
298,0.60959998,4.874815
299,0.61163998,3.937315
300,0.61367998,2.906004
301,0.61571998,1.875
302,0.61775998,1.312438
303,0.61979998,0.6560655
304,0.62183998,0.46875
305,0.62387998,0.281127
306,0.62591998,0.3749385
307,0.62795998,0.6560655
308,0.62999998,1.40625
309,0.63203998,2.156127
310,0.63407998,2.906004
311,0.63611998,3.28125
312,0.63815998,4.031127
313,0.64019998,4.406065
314,0.64223998,4.781312
315,0.64427998,5.250062
316,0.64631998,5.437377
317,0.64835998,5.531188
318,0.65039998,5.625
319,0.65243998,5.437377
320,0.65447998,5.343565
321,0.65651998,5.343565
322,0.65855998,5.15625
323,0.66059998,4.968627
324,0.66263998,4.499877
325,0.66467998,4.124938
326,0.66671998,3.374754
327,0.66875998,2.999815
328,0.67079998,2.437254
329,0.67283998,2.249938
330,0.67487998,2.156127
331,0.67691998,1.781188
332,0.67895998,1.781188
333,0.68099998,1.124815
334,0.68303998,0.9375
335,0.68507998,0.8436885
336,0.68711998,0.6560655
337,0.68915998,0.8436885
338,0.69119998,0.562254
339,0.69323998,0.749877
340,0.69527998,0.46875
341,0.69731998,0.3749385
342,0.69935998,0.281127
343,0.70139998,0.281127
344,0.70343998,0.281127
345,0.70547998,0.281127
346,0.70751998,0.3749385
347,0.70955998,0.3749385
348,0.71159998,0.749877
349,0.71363998,0.6560655
350,0.71567998,0.8436885
351,0.71771998,0.8436885
352,0.71975998,0.8436885
353,0.72179998,1.218627
354,0.72383998,1.124815
355,0.72587998,1.312438
356,0.72791998,1.312438
357,0.72995998,1.312438
358,0.73199998,1.875
359,0.73403998,1.781188
360,0.73607998,2.531065
361,0.73811998,2.8125
362,0.74015998,2.8125
363,0.74219998,3.374754
364,0.74423998,3.187438
365,0.74627998,3.562377
366,0.74831998,3.656188
367,0.75035998,3.937315
368,0.75239998,4.499877
369,0.75443998,4.499877
370,0.75647998,4.874815
371,0.75851998,4.781312
372,0.76055998,4.874815
373,0.76259998,5.15625
374,0.76463998,5.062438
375,0.76667998,5.343565
376,0.76871998,5.437377
377,0.77075998,5.625
378,0.77279998,5.625
379,0.77483998,5.625
380,0.77687998,5.625
381,0.77891998,5.625
382,0.78095998,5.625
383,0.78299998,5.625
384,0.78503998,5.437377
385,0.78707998,5.250062
386,0.78911998,5.250062
387,0.79115998,4.968627
388,0.79319998,4.968627
389,0.79523998,4.968627
390,0.79727998,4.874815
391,0.79931998,4.874815
392,0.80135998,4.499877
393,0.80339998,4.21875
394,0.80543998,4.031127
395,0.80747998,3.656188
396,0.80951998,3.75
397,0.81155998,3.562377
398,0.81359998,3.656188
399,0.81563998,3.374754
400,0.81767998,2.999815
401,0.81971998,2.906004
402,0.82175998,2.34375
403,0.82379998,2.437254
404,0.82583998,2.249938
405,0.82787998,2.34375
406,0.82991998,2.437254
407,0.83195998,2.156127
408,0.83399998,2.062315
409,0.83603998,1.687377
410,0.83807998,1.40625
411,0.84011998,1.312438
412,0.84215998,0.9375
413,0.84419998,0.749877
414,0.84623998,0.6560655
415,0.84827998,0.562254
416,0.85031998,0.749877
417,0.85235998,0.562254
418,0.85439998,0.46875
419,0.85643998,0.3749385
420,0.85847998,0.281127
421,0.86051998,0.3749385
422,0.86255998,0.281127
423,0.86459998,0.281127
424,0.86663998,0.1873154
425,0.86867998,0.281127
426,0.87071998,0.281127
427,0.87275998,0.281127
428,0.87479998,0.281127
429,0.87683998,0.3749385
430,0.87887998,0.3749385
431,0.88091998,0.3749385
432,0.88295998,0.562254
433,0.88499998,0.562254
434,0.88703998,0.6560655
435,0.88907998,0.6560655
436,0.89111998,0.6560655
437,0.89315998,1.031004
438,0.89519998,0.8436885
439,0.89723998,0.9375
440,0.89927998,0.9375
441,0.90131998,0.9375
442,0.90335998,1.218627
443,0.90539998,1.031004
444,0.90743998,1.218627
445,0.90947998,1.40625
446,0.91151998,1.499754
447,0.91355998,1.968504
448,0.91559998,1.687377
449,0.91763998,1.968504
450,0.91967998,1.968504
451,0.92171998,2.062315
452,0.92375998,2.34375
453,0.92579998,2.062315
454,0.92783998,2.624877
455,0.92987998,2.531065
456,0.93191998,2.8125
457,0.93395998,2.8125
458,0.93599998,2.531065
459,0.93803998,2.999815
460,0.94007998,3.093627
461,0.94211998,3.843504
462,0.94415998,3.937315
463,0.94619998,3.937315
464,0.94823998,4.21875
465,0.95027998,3.937315
466,0.95231998,4.21875
467,0.95435998,3.937315
468,0.95639998,4.312562
469,0.95843998,4.406065
470,0.96047998,4.406065
471,0.96251998,4.6875
472,0.96455998,4.499877
473,0.96659998,4.874815
474,0.96863998,4.6875
475,0.97067998,4.874815
476,0.97271998,5.062438
477,0.97475998,4.874815
478,0.97679998,5.250062
479,0.97883998,5.062438
480,0.98087998,5.062438
481,0.98291998,5.15625
482,0.98495998,5.15625
483,0.98699998,5.250062
484,0.98903998,5.250062
485,0.99107997,5.437377
486,0.99311997,5.437377
487,0.99515997,5.437377
488,0.99719997,5.437377
489,0.99923997,5.437377
490,1.00127997,5.531188
491,1.00331997,5.531188
492,1.00535997,5.531188
493,1.00739997,5.437377
494,1.00943997,5.437377
495,1.01147997,5.437377
496,1.01351997,5.437377
497,1.01555997,5.531188
498,1.01759997,5.531188
499,1.01963997,5.531188
500,1.02167997,5.531188
501,1.02371997,5.531188
502,1.02575997,5.531188
503,1.02779997,5.531188
504,1.02983997,5.437377
505,1.03187997,5.437377
506,1.03391997,5.343565
507,1.03595997,5.437377
508,1.03799997,5.531188
509,1.04003997,5.531188
510,1.04207997,5.437377
511,1.04411997,5.343565
512,1.04615997,5.343565
