,Tid,Kanal A
490,1.00127997,0.562254
491,1.00331997,0.562254
492,1.00535997,0.562254
493,1.00739997,0.46875
494,1.00943997,0.3749385
495,1.01147997,0.3749385
496,1.01351997,0.3749385
497,1.01555997,0.46875
498,1.01759997,0.46875
499,1.01963997,0.562254
500,1.02167997,0.562254
501,1.02371997,0.562254
502,1.02575997,0.46875
503,1.02779997,0.3749385
504,1.02983997,0.3749385
505,1.03187997,0.3749385
506,1.03391997,0.3749385
507,1.03595997,0.46875
508,1.03799997,0.46875
509,1.04003997,0.46875
510,1.04207997,0.3749385
511,1.04411997,0.3749385
512,1.04615997,0.3749385
513,1.04819997,0.46875
514,1.05023997,0.46875
515,1.05227997,0.562254
516,1.05431997,0.6560655
517,1.05635997,0.6560655
518,1.05839997,0.3749385
519,1.06043997,0.3749385
520,1.06247997,0.46875
521,1.06451997,0.46875
522,1.06655997,0.46875
523,1.06859997,0.562254
524,1.07063997,0.9375
525,1.07267997,0.749877
526,1.07471997,0.6560655
527,1.07675997,0.562254
528,1.07879997,0.46875
529,1.08083997,0.3749385
530,1.08287997,0.3749385
531,1.08491997,0.46875
532,1.08695997,0.46875
533,1.08899997,0.3749385
534,1.09103997,0.46875
535,1.09307997,0.281127
536,1.09511997,0.281127
537,1.09715997,0.3749385
538,1.09919997,0.3749385
539,1.10123997,0.281127
540,1.10327997,0.281127
541,1.10531997,0.281127
542,1.10735997,0.281127
543,1.10939997,0.281127
544,1.11143997,0.281127
545,1.11347997,0.3749385
546,1.11551997,0.281127
547,1.11755997,0.3749385
548,1.11959997,0.281127
549,1.12163997,0.3749385
550,1.12367997,0.46875
551,1.12571997,0.3749385
552,1.12775997,0.9375
553,1.12979997,0.749877
554,1.13183997,0.8436885
555,1.13387997,1.124815
556,1.13591997,0.9375
557,1.13795997,1.312438
558,1.13999997,0.8436885
559,1.14203997,1.312438
560,1.14407997,1.499754
561,1.14611997,1.312438
562,1.14815997,1.781188
563,1.15019997,1.499754
564,1.15223997,2.249938
565,1.15427997,1.968504
566,1.15631997,1.968504
567,1.15835997,2.906004
568,1.16039997,2.8125
569,1.16243997,3.28125
570,1.16447997,2.999815
571,1.16651997,3.374754
572,1.16855997,3.468565
573,1.17059997,3.187438
574,1.17263997,3.75
575,1.17467997,3.562377
576,1.17671997,4.124938
577,1.17875997,4.406065
578,1.18079997,4.499877
579,1.18283997,4.781312
580,1.18487997,4.593688
581,1.18691997,4.499877
582,1.18895997,4.031127
583,1.19099997,4.124938
584,1.19303997,4.593688
585,1.19507997,4.968627
586,1.19711997,5.437377
587,1.19915997,5.437377
588,1.20119997,5.437377
589,1.20323997,5.437377
590,1.20527997,5.437377
591,1.20731997,5.437377
592,1.20935997,5.343565
593,1.21139997,5.437377
594,1.21343997,5.250062
595,1.21547997,4.593688
596,1.21751997,3.562377
597,1.21955997,3.843504
598,1.22159997,3.656188
599,1.22363997,4.21875
600,1.22567997,4.593688
601,1.22771997,4.499877
602,1.22975997,4.031127
603,1.23179997,2.718688
604,1.23383997,2.249938
605,1.23587997,1.312438
606,1.23791997,1.031004
607,1.23995997,1.687377
608,1.24199997,1.687377
609,1.24403997,2.062315
610,1.24607997,1.593565
611,1.24811997,0.8436885
612,1.25015997,0.46875
613,1.25219997,0.281127
614,1.25423997,0.281127
615,1.25627997,0.281127
616,1.25831997,0.281127
617,1.26035997,0.281127
618,1.26239997,0.281127
619,1.26443997,0.3749385
620,1.26647997,1.124815
621,1.26851997,1.687377
622,1.27055997,2.062315
623,1.27259997,2.156127
624,1.27463997,1.781188
625,1.27667997,1.968504
626,1.27871997,2.062315
627,1.28075997,2.531065
628,1.28279997,3.656188
629,1.28483997,4.499877
630,1.28687997,5.062438
631,1.28891997,5.437377
632,1.29095997,5.437377
633,1.29299997,5.531188
634,1.29503997,5.437377
635,1.29707997,4.968627
636,1.29911997,3.937315
637,1.30115997,2.156127
638,1.30319997,0.46875
639,1.30523997,0.562254
640,1.30727997,2.718688
641,1.30931997,4.6875
642,1.31135997,5.343565
643,1.31339997,4.124938
644,1.31543997,2.156127
645,1.31747997,0.3749385
646,1.31951997,0.749877
647,1.32155997,3.093627
648,1.32359997,5.250062
649,1.32563997,4.968627
650,1.32767997,1.968504
651,1.32971997,0.281127
652,1.33175997,1.312438
653,1.33379997,3.937315
654,1.33583997,5.343565
655,1.33787997,3.937315
656,1.33991997,1.499754
657,1.34195997,0.46875
658,1.34399997,2.34375
659,1.34603997,4.406065
660,1.34807997,5.343565
661,1.35011997,4.124938
662,1.35215997,1.40625
663,1.35419997,0.3749385
664,1.35623997,1.875
665,1.35827997,4.406065
666,1.36031997,5.343565
667,1.36235997,4.874815
668,1.36439997,2.718688
669,1.36643997,0.8436885
670,1.36847997,0.749877
671,1.37051997,2.624877
672,1.37255997,4.593688
673,1.37459997,5.437377
674,1.37663997,4.6875
675,1.37867997,2.8125
676,1.38071997,0.9375
677,1.38275997,0.3749385
678,1.38479997,1.593565
679,1.38683996,3.562377
680,1.38887996,5.15625
681,1.39091996,5.343565
682,1.39295996,4.312562
683,1.39499996,2.437254
684,1.39703996,0.9375
685,1.39907996,0.281127
686,1.40111996,1.124815
687,1.40315996,2.718688
688,1.40519996,4.406065
689,1.40723996,5.437377
690,1.40927996,4.781312
691,1.41131996,3.187438
692,1.41335996,1.875
693,1.41539996,0.3749385
694,1.41743996,0.281127
695,1.41947996,0.46875
696,1.42151996,0.8436885
697,1.42355996,1.593565
698,1.42559996,2.906004
699,1.42763996,3.656188
700,1.42967996,5.343565
701,1.43171996,5.343565
702,1.43375996,3.656188
703,1.43579996,2.437254
704,1.43783996,1.031004
705,1.43987996,0.281127
706,1.44191996,0.46875
707,1.44395996,0.749877
708,1.44599996,0.562254
709,1.44803996,0.46875
710,1.45007996,1.875
711,1.45211996,3.28125
712,1.45415996,4.968627
713,1.45619996,5.625
714,1.45823996,5.531188
715,1.46027996,5.625
716,1.46231996,5.531188
717,1.46435996,5.625
718,1.46639996,5.343565
719,1.46843996,3.562377
720,1.47047996,1.40625
721,1.47251996,0.6560655
722,1.47455996,0.281127
723,1.47659996,0.281127
724,1.47863996,0.281127
725,1.48067996,0.3749385
726,1.48271996,0.281127
727,1.48475996,1.40625
728,1.48679996,2.999815
729,1.48883996,3.75
730,1.49087996,4.874815
731,1.49291996,5.250062
732,1.49495996,5.343565
733,1.49699996,4.6875
734,1.49903996,5.062438
735,1.50107996,5.718812
736,1.50311996,5.250062
737,1.50515996,4.031127
738,1.50719996,3.656188
739,1.50923996,2.999815
740,1.51127996,3.468565
741,1.51331996,3.75
742,1.51535996,4.21875
743,1.51739996,4.312562
744,1.51943996,2.999815
745,1.52147996,2.156127
746,1.52351996,0.749877
747,1.52555996,0.562254
748,1.52759996,0.46875
749,1.52963996,0.281127
750,1.53167996,0.562254
751,1.53371996,0.562254
752,1.53575996,0.749877
753,1.53779996,0.281127
754,1.53983996,0.3749385
755,1.54187996,0.46875
756,1.54391996,0.562254
757,1.54595996,0.46875
758,1.54799996,0.749877
759,1.55003996,0.46875
760,1.55207996,0.46875
761,1.55411996,0.562254
762,1.55615996,0.8436885
763,1.55819996,2.624877
764,1.56023996,3.187438
765,1.56227996,2.718688
766,1.56431996,2.906004
767,1.56635996,3.562377
768,1.56839996,3.093627
769,1.57043996,3.374754
770,1.57247996,3.562377
771,1.57451996,4.406065
772,1.57655996,5.531188
773,1.57859996,5.531188
774,1.58063996,5.531188
775,1.58267996,5.343565
776,1.58471996,5.531188
777,1.58675996,5.718812
778,1.58879996,5.625
779,1.59083996,5.718812
780,1.59287996,5.437377
781,1.59491996,4.593688
782,1.59695996,4.21875
783,1.59899996,5.343565
784,1.60103996,4.781312
785,1.60307996,4.21875
786,1.60511996,4.124938
787,1.60715996,3.937315
788,1.60919996,3.843504
789,1.61123996,2.718688
790,1.61327996,2.624877
791,1.61531996,2.624877
792,1.61735996,2.34375
793,1.61939996,2.34375
794,1.62143996,1.40625
795,1.62347996,1.218627
796,1.62551996,0.9375
797,1.62755996,0.3749385
798,1.62959996,0.3749385
799,1.63163996,0.281127
800,1.63367996,0.281127
801,1.63571996,0.281127
802,1.63775996,0.281127
803,1.63979996,0.281127
804,1.64183996,0.281127
805,1.64387996,0.3749385
806,1.64591996,0.6560655
807,1.64795996,0.8436885
808,1.64999996,0.8436885
809,1.65203996,1.124815
810,1.65407996,0.8436885
811,1.65611996,0.8436885
812,1.65815996,1.031004
813,1.66019996,1.593565
814,1.66223996,2.34375
815,1.66427996,2.34375
816,1.66631996,2.531065
817,1.66835996,2.249938
818,1.67039996,2.531065
819,1.67243996,2.906004
820,1.67447996,2.999815
821,1.67651996,3.562377
822,1.67855996,3.937315
823,1.68059996,4.499877
824,1.68263996,4.031127
825,1.68467996,2.8125
826,1.68671996,3.187438
827,1.68875996,4.124938
828,1.69079996,4.874815
829,1.69283996,4.968627
830,1.69487996,5.15625
831,1.69691996,5.531188
832,1.69895996,5.531188
833,1.70099996,5.437377
834,1.70303996,5.343565
835,1.70507996,5.437377
836,1.70711996,5.437377
837,1.70915996,5.062438
838,1.71119996,4.968627
839,1.71323996,5.343565
840,1.71527996,5.531188
841,1.71731996,5.250062
842,1.71935996,4.781312
843,1.72139996,4.874815
844,1.72343996,5.15625
845,1.72547996,5.531188
846,1.72751996,5.437377
847,1.72955996,5.531188
848,1.73159996,5.062438
849,1.73363996,3.468565
850,1.73567996,3.28125
851,1.73771996,2.999815
852,1.73975996,4.6875
853,1.74179996,4.21875
854,1.74383996,4.312562
855,1.74587996,4.781312
856,1.74791996,3.187438
857,1.74995996,2.718688
858,1.75199996,0.8436885
859,1.75403996,2.249938
860,1.75607996,3.28125
861,1.75811996,2.718688
862,1.76015996,4.21875
863,1.76219996,3.28125
864,1.76423996,3.093627
865,1.76627996,1.312438
866,1.76831996,0.749877
867,1.77035996,1.312438
868,1.77239996,0.6560655
869,1.77443996,1.40625
870,1.77647996,1.218627
871,1.77851996,1.218627
872,1.78055996,1.218627
873,1.78259995,0.9375
874,1.78463995,2.249938
875,1.78667995,2.249938
876,1.78871995,1.875
877,1.79075995,1.312438
878,1.79279995,0.562254
879,1.79483995,0.3749385
880,1.79687995,0.1873154
881,1.79891995,0.46875
882,1.80095995,1.593565
883,1.80299995,1.968504
884,1.80503995,2.249938
885,1.80707995,1.593565
886,1.80911995,1.031004
887,1.81115995,0.281127
888,1.81319995,0.1873154
889,1.81523995,0.281127
890,1.81727995,0.46875
891,1.81931995,0.6560655
892,1.82135995,0.8436885
893,1.82339995,0.8436885
894,1.82543995,0.3749385
895,1.82747995,0.281127
896,1.82951995,0.281127
897,1.83155995,0.46875
898,1.83359995,0.6560655
899,1.83563995,0.749877
900,1.83767995,0.562254
901,1.83971995,0.281127
902,1.84175995,0.3749385
903,1.84379995,0.9375
904,1.84583995,0.9375
905,1.84787995,0.6560655
906,1.84991995,0.3749385
907,1.85195995,0.281127
908,1.85399995,0.281127
909,1.85603995,0.281127
910,1.85807995,0.749877
911,1.86011995,1.031004
912,1.86215995,1.312438
913,1.86419995,1.312438
914,1.86623995,1.40625
915,1.86827995,1.218627
916,1.87031995,1.031004
917,1.87235995,0.9375
918,1.87439995,1.218627
919,1.87643995,1.968504
920,1.87847995,2.437254
921,1.88051995,2.531065
922,1.88255995,2.249938
923,1.88459995,1.781188
924,1.88663995,1.593565
925,1.88867995,1.312438
926,1.89071995,1.593565
927,1.89275995,1.968504
928,1.89479995,2.437254
929,1.89683995,2.718688
930,1.89887995,2.34375
931,1.90091995,1.968504
932,1.90295995,1.593565
933,1.90499995,1.499754
934,1.90703995,1.593565
935,1.90907995,1.781188
936,1.91111995,2.437254
937,1.91315995,2.718688
938,1.91519995,2.999815
939,1.91723995,3.28125
940,1.91927995,2.906004
941,1.92131995,1.875
942,1.92335995,1.499754
943,1.92539995,2.437254
944,1.92743995,2.718688
945,1.92947995,2.718688
946,1.93151995,2.531065
947,1.93355995,3.187438
948,1.93559995,3.28125
949,1.93763995,2.8125
950,1.93967995,2.624877
951,1.94171995,2.531065
952,1.94375995,3.656188
953,1.94579995,3.562377
954,1.94783995,3.937315
955,1.94987995,3.75
956,1.95191995,3.187438
957,1.95395995,3.656188
958,1.95599995,3.187438
959,1.95803995,2.999815
960,1.96007995,2.8125
961,1.96211995,3.468565
962,1.96415995,4.031127
963,1.96619995,2.999815
964,1.96823995,2.34375
965,1.97027995,2.531065
966,1.97231995,3.562377
967,1.97435995,4.312562
968,1.97639995,5.250062
969,1.97843995,5.343565
970,1.98047995,5.250062
971,1.98251995,5.437377
972,1.98455995,4.593688
973,1.98659995,2.531065
974,1.98863995,0.6560655
975,1.99067995,0.281127
976,1.99271995,0.6560655
977,1.99475995,2.34375
978,1.99679995,3.937315
979,1.99883995,4.968627
