,Tid,Kanal A
147,0.30155999,1.40625
148,0.30359999,1.40625
149,0.30563999,1.687377
150,0.30767999,1.593565
151,0.30971999,1.875
152,0.31175999,1.875
153,0.31379999,1.781188
154,0.31583999,2.249938
155,0.31787999,2.249938
156,0.31991999,2.624877
157,0.32195999,2.624877
158,0.32399999,2.8125
159,0.32603999,2.8125
160,0.32807999,2.624877
161,0.33011999,2.8125
162,0.33215999,3.093627
163,0.33419999,3.468565
164,0.33623999,3.843504
165,0.33827999,3.937315
166,0.34031999,4.031127
167,0.34235999,3.843504
168,0.34439999,3.656188
169,0.34643999,3.843504
170,0.34847999,4.031127
171,0.35051999,4.312562
172,0.35255999,4.21875
173,0.35459999,4.406065
174,0.35663999,4.593688
175,0.35867999,4.499877
176,0.36071999,4.781312
177,0.36275999,4.593688
178,0.36479999,4.6875
179,0.36683999,4.593688
180,0.36887999,4.312562
181,0.37091999,4.593688
182,0.37295999,4.406065
183,0.37499999,4.6875
184,0.37703999,4.593688
185,0.37907999,4.21875
186,0.38111999,4.21875
187,0.38315999,3.843504
188,0.38519999,4.21875
189,0.38723999,4.406065
190,0.38927999,4.593688
191,0.39131999,4.874815
192,0.39335999,4.6875
193,0.39539999,4.874815
194,0.39743999,4.6875
195,0.39947999,4.781312
196,0.40151999,5.062438
197,0.40355999,5.062438
198,0.40559999,5.343565
199,0.40763999,5.437377
200,0.40967999,5.531188
201,0.41171999,5.625
202,0.41375999,5.531188
203,0.41579999,5.718812
204,0.41783999,5.718812
205,0.41987999,5.812315
206,0.42191999,5.906127
207,0.42395999,5.812315
208,0.42599999,5.531188
209,0.42803999,5.437377
210,0.43007999,4.968627
211,0.43211999,4.6875
212,0.43415999,4.499877
213,0.43619999,3.75
214,0.43823999,3.75
215,0.44027999,2.718688
216,0.44231999,2.062315
217,0.44435999,1.312438
218,0.44639999,0.46875
219,0.44843999,0.281127
220,0.45047999,1.875
221,0.45251999,4.781312
222,0.45455999,4.593688
223,0.45659999,0.46875
224,0.45863999,3.28125
225,0.46067999,5.531188
226,0.46271999,3.468565
227,0.46475999,0.6560655
228,0.46679999,1.312438
229,0.46883999,4.593688
230,0.47087999,4.968627
231,0.47291999,1.124815
232,0.47495999,1.499754
233,0.47699999,4.968627
234,0.47903999,5.15625
235,0.48107999,1.312438
236,0.48311999,0.8436885
237,0.48515999,4.406065
238,0.48719999,5.250062
239,0.48923999,2.249938
240,0.49127999,0.46875
241,0.49331999,2.718688
242,0.49535999,5.437377
243,0.49739999,4.312562
244,0.49943999,0.9375
245,0.50147999,1.312438
246,0.50351999,4.312562
247,0.50555999,5.625
248,0.50759999,3.093627
249,0.50963999,0.562254
250,0.51167999,1.687377
251,0.51371999,4.6875
252,0.51575999,5.437377
253,0.51779999,2.437254
254,0.51983999,0.3749385
255,0.52187999,1.968504
256,0.52391999,4.781312
257,0.52595999,5.625
258,0.52799999,3.28125
259,0.53003999,0.6560655
260,0.53207999,1.312438
261,0.53411999,4.312562
262,0.53615999,5.718812
263,0.53819999,4.124938
264,0.54023999,1.499754
265,0.54227999,0.3749385
266,0.54431999,2.062315
267,0.54635999,4.781312
268,0.54839999,5.718812
269,0.55043999,3.75
270,0.55247999,0.749877
271,0.55451999,0.562254
272,0.55655999,2.624877
273,0.55859999,4.874815
274,0.56063999,5.812315
275,0.56267999,4.499877
276,0.56471999,1.875
277,0.56675999,0.3749385
278,0.56879999,1.687377
279,0.57083999,4.031127
280,0.57287999,5.718812
281,0.57491999,5.531188
282,0.57695999,3.562377
283,0.57899999,1.312438
284,0.58103999,0.281127
285,0.58307999,1.593565
286,0.58511999,3.843504
287,0.58715999,5.531188
288,0.58919999,5.812315
289,0.59123999,4.593688
290,0.59327999,2.624877
291,0.59531998,0.749877
292,0.59735998,0.3749385
293,0.59939998,1.40625
294,0.60143998,3.562377
295,0.60347998,5.437377
296,0.60551998,5.812315
297,0.60755998,4.6875
298,0.60959998,2.906004
299,0.61163998,1.40625
300,0.61367998,0.3749385
301,0.61571998,0.562254
302,0.61775998,2.062315
303,0.61979998,4.031127
304,0.62183998,5.531188
305,0.62387998,5.999938
306,0.62591998,5.437377
307,0.62795998,4.21875
308,0.62999998,2.531065
309,0.63203998,0.9375
310,0.63407998,0.281127
311,0.63611998,0.8436885
312,0.63815998,2.062315
313,0.64019998,3.562377
314,0.64223998,4.874815
315,0.64427998,5.812315
316,0.64631998,5.906127
317,0.64835998,5.062438
318,0.65039998,3.656188
319,0.65243998,2.062315
320,0.65447998,0.749877
321,0.65651998,0.281127
322,0.65855998,0.46875
323,0.66059998,1.124815
324,0.66263998,2.34375
325,0.66467998,3.937315
326,0.66671998,5.250062
327,0.66875998,5.999938
328,0.67079998,5.999938
329,0.67283998,5.250062
330,0.67487998,4.312562
331,0.67691998,3.28125
332,0.67895998,2.062315
